N,density,flux
1,0.001,0
2,0.002,2
3,0.003,3
4,0.004,6
5,0.005,7
6,0.006,7
7,0.007,7
8,0.008,11
9,0.009,13
10,0.01,16
11,0.011,17
12,0.012,17
13,0.013,19
14,0.014,18
15,0.015,24
16,0.016,26
17,0.017,26
18,0.018,23
19,0.019,30
20,0.02,26
21,0.021,30
22,0.022,31
23,0.023,34
24,0.024,39
25,0.025,36
26,0.026,32
263,0.263,230
27,0.027,39
28,0.028,39
29,0.029,42
30,0.03,43
31,0.031,46
32,0.032,46
448,0.448,160
33,0.033,47
34,0.034,47
35,0.035,51
264,0.264,209
36,0.036,51
587,0.587,111
37,0.037,58
38,0.038,56
39,0.039,57
40,0.04,60
41,0.041,57
42,0.042,64
265,0.265,232
43,0.043,64
44,0.044,64
449,0.449,160
45,0.045,66
46,0.046,68
47,0.047,67
266,0.266,219
48,0.048,70
49,0.049,71
50,0.05,71
588,0.588,111
51,0.051,78
52,0.052,75
53,0.053,79
267,0.267,242
450,0.45,161
54,0.054,76
55,0.055,79
56,0.056,80
57,0.057,82
268,0.268,240
58,0.058,86
59,0.059,85
60,0.06,87
589,0.589,119
61,0.061,88
451,0.451,157
62,0.062,89
269,0.269,214
63,0.063,91
64,0.064,91
65,0.065,92
66,0.066,92
270,0.27,239
67,0.067,94
68,0.068,95
452,0.452,171
69,0.069,96
590,0.59,115
70,0.07,97
271,0.271,200
71,0.071,98
72,0.072,99
73,0.073,101
74,0.074,102
272,0.272,238
453,0.453,157
75,0.075,102
76,0.076,104
77,0.077,106
591,0.591,114
273,0.273,212
78,0.078,108
79,0.079,110
80,0.08,111
454,0.454,165
81,0.081,111
274,0.274,239
82,0.082,111
83,0.083,113
84,0.084,116
275,0.275,199
85,0.085,118
592,0.592,111
455,0.455,127
86,0.086,118
87,0.087,119
276,0.276,190
88,0.088,123
89,0.089,122
90,0.09,125
277,0.277,234
91,0.091,124
456,0.456,155
593,0.593,117
92,0.092,127
93,0.093,128
278,0.278,197
94,0.094,124
95,0.095,132
457,0.457,182
96,0.096,132
279,0.279,216
97,0.097,133
594,0.594,91
98,0.098,133
99,0.099,135
280,0.28,196
100,0.1,137
458,0.458,159
101,0.101,140
102,0.102,140
281,0.281,176
103,0.103,142
595,0.595,116
104,0.104,144
105,0.105,144
459,0.459,147
282,0.282,179
106,0.106,140
107,0.107,146
283,0.283,200
108,0.108,146
109,0.109,144
460,0.46,149
596,0.596,100
110,0.11,149
284,0.284,203
111,0.111,154
112,0.112,156
113,0.113,156
285,0.285,173
461,0.461,125
114,0.114,153
597,0.597,117
115,0.115,159
286,0.286,189
116,0.116,156
117,0.117,161
462,0.462,146
118,0.118,161
287,0.287,239
119,0.119,163
598,0.598,125
120,0.12,160
288,0.288,198
121,0.121,163
463,0.463,167
122,0.122,166
289,0.289,190
123,0.123,170
124,0.124,165
599,0.599,118
125,0.125,168
464,0.464,184
290,0.29,225
126,0.126,167
127,0.127,166
291,0.291,202
128,0.128,173
465,0.465,154
129,0.129,177
600,0.6,106
292,0.292,243
130,0.13,172
131,0.131,171
132,0.132,176
293,0.293,188
466,0.466,152
133,0.133,177
134,0.134,182
601,0.601,107
294,0.294,210
135,0.135,179
467,0.467,145
136,0.136,185
295,0.295,194
137,0.137,188
138,0.138,185
602,0.602,88
296,0.296,221
139,0.139,182
468,0.468,144
140,0.14,185
297,0.297,233
141,0.141,181
142,0.142,189
469,0.469,142
603,0.603,108
298,0.298,210
143,0.143,195
144,0.144,190
299,0.299,215
145,0.145,185
470,0.47,149
146,0.146,194
604,0.604,101
300,0.3,218
147,0.147,197
148,0.148,198
149,0.149,198
301,0.301,198
471,0.471,168
150,0.15,203
151,0.151,189
605,0.605,112
302,0.302,223
152,0.152,202
472,0.472,162
153,0.153,205
303,0.303,173
154,0.154,203
606,0.606,119
155,0.155,203
304,0.304,178
473,0.473,152
156,0.156,200
157,0.157,200
305,0.305,175
158,0.158,206
474,0.474,140
607,0.607,112
306,0.306,208
159,0.159,206
160,0.16,211
307,0.307,208
161,0.161,206
475,0.475,146
162,0.162,212
608,0.608,108
308,0.308,198
163,0.163,205
164,0.164,212
476,0.476,135
309,0.309,214
165,0.165,208
166,0.166,216
609,0.609,98
310,0.31,205
167,0.167,218
477,0.477,135
168,0.168,209
311,0.311,206
169,0.169,217
610,0.61,114
170,0.17,218
478,0.478,124
312,0.312,194
171,0.171,222
172,0.172,222
313,0.313,222
479,0.479,156
173,0.173,214
611,0.611,109
174,0.174,220
314,0.314,190
175,0.175,221
480,0.48,150
315,0.315,189
176,0.176,228
177,0.177,227
612,0.612,106
316,0.316,204
178,0.178,227
481,0.481,135
179,0.179,222
317,0.317,228
180,0.18,227
613,0.613,102
181,0.181,225
482,0.482,146
318,0.318,178
182,0.182,228
319,0.319,209
183,0.183,229
483,0.483,141
614,0.614,102
184,0.184,231
320,0.32,198
185,0.185,232
186,0.186,233
484,0.484,133
321,0.321,215
187,0.187,229
615,0.615,113
188,0.188,234
322,0.322,184
485,0.485,142
189,0.189,223
323,0.323,217
190,0.19,231
616,0.616,100
191,0.191,234
486,0.486,143
324,0.324,195
192,0.192,232
193,0.193,234
325,0.325,187
617,0.617,107
487,0.487,163
194,0.194,240
326,0.326,176
195,0.195,240
196,0.196,229
488,0.488,157
327,0.327,187
618,0.618,93
197,0.197,240
198,0.198,240
328,0.328,234
199,0.199,241
489,0.489,152
329,0.329,202
200,0.2,242
619,0.619,102
201,0.201,241
490,0.49,139
330,0.33,196
202,0.202,239
203,0.203,242
620,0.62,90
331,0.331,197
491,0.491,160
204,0.204,241
332,0.332,225
205,0.205,247
206,0.206,245
621,0.621,102
492,0.492,138
333,0.333,234
207,0.207,237
208,0.208,252
334,0.334,216
493,0.493,151
209,0.209,249
622,0.622,97
335,0.335,221
210,0.21,244
211,0.211,234
494,0.494,147
336,0.336,194
212,0.212,248
623,0.623,99
337,0.337,187
213,0.213,218
495,0.495,145
214,0.214,231
338,0.338,174
215,0.215,237
624,0.624,97
496,0.496,143
216,0.216,217
339,0.339,173
217,0.217,228
340,0.34,204
625,0.625,98
218,0.218,241
497,0.497,139
219,0.219,208
341,0.341,200
220,0.22,238
498,0.498,139
342,0.342,201
626,0.626,99
221,0.221,237
222,0.222,201
343,0.343,186
499,0.499,139
223,0.223,214
627,0.627,93
344,0.344,233
224,0.224,220
500,0.5,130
225,0.225,212
345,0.345,184
226,0.226,239
628,0.628,101
227,0.227,197
346,0.346,171
501,0.501,159
228,0.228,244
347,0.347,184
229,0.229,240
629,0.629,90
502,0.502,140
230,0.23,245
348,0.348,202
231,0.231,219
503,0.503,140
349,0.349,206
232,0.232,216
630,0.63,101
233,0.233,210
350,0.35,180
