N,density,flux
1,0.001,0
2,0.002,2
3,0.003,4
4,0.004,4
5,0.005,7
6,0.006,9
7,0.007,8
8,0.008,9
9,0.009,0
10,0.01,2
11,0.011,2
12,0.012,0
13,0.013,12
14,0.014,13
15,0.015,16
16,0.016,15
17,0.017,16
18,0.018,17
19,0.019,23
20,0.02,25
21,0.021,23
137,0.137,153
22,0.022,25
23,0.023,25
24,0.024,24
25,0.025,31
26,0.026,32
245,0.245,226
27,0.027,29
138,0.138,155
340,0.34,195
28,0.028,39
29,0.029,35
30,0.03,33
31,0.031,32
32,0.032,31
139,0.139,153
423,0.423,174
33,0.033,49
34,0.034,41
560,0.56,126
35,0.035,43
246,0.246,227
496,0.496,150
36,0.036,43
616,0.616,113
37,0.037,37
140,0.14,156
341,0.341,195
38,0.038,47
39,0.039,44
40,0.04,47
41,0.041,47
141,0.141,153
42,0.042,46
247,0.247,214
43,0.043,54
44,0.044,54
142,0.142,155
424,0.424,168
45,0.045,52
342,0.342,172
46,0.046,47
47,0.047,51
561,0.561,121
48,0.048,48
248,0.248,225
143,0.143,157
497,0.497,131
49,0.049,57
50,0.05,54
617,0.617,101
51,0.051,61
144,0.144,155
52,0.052,57
343,0.343,165
53,0.053,61
249,0.249,199
54,0.054,59
425,0.425,172
145,0.145,156
55,0.055,65
56,0.056,69
57,0.057,70
146,0.146,161
58,0.058,73
562,0.562,128
250,0.25,205
498,0.498,139
344,0.344,214
59,0.059,67
60,0.06,69
147,0.147,156
618,0.618,122
61,0.061,70
62,0.062,73
426,0.426,143
148,0.148,158
251,0.251,232
63,0.063,76
64,0.064,69
345,0.345,209
65,0.065,74
149,0.149,164
66,0.066,79
67,0.067,76
499,0.499,131
563,0.563,119
252,0.252,212
150,0.15,161
68,0.068,83
69,0.069,87
427,0.427,162
346,0.346,196
70,0.07,81
151,0.151,162
619,0.619,104
71,0.071,82
253,0.253,232
72,0.072,81
152,0.152,161
73,0.073,81
74,0.074,88
347,0.347,176
153,0.153,163
500,0.5,128
564,0.564,123
75,0.075,92
254,0.254,200
428,0.428,157
76,0.076,80
77,0.077,97
154,0.154,167
78,0.078,89
620,0.62,105
255,0.255,234
348,0.348,185
79,0.079,96
155,0.155,163
80,0.08,91
81,0.081,90
156,0.156,163
429,0.429,173
501,0.501,128
82,0.082,92
565,0.565,121
256,0.256,197
349,0.349,165
83,0.083,99
157,0.157,169
84,0.084,95
85,0.085,93
158,0.158,171
257,0.257,199
621,0.621,106
86,0.086,105
350,0.35,171
87,0.087,99
430,0.43,149
159,0.159,172
88,0.088,100
566,0.566,130
502,0.502,149
258,0.258,195
89,0.089,105
160,0.16,170
90,0.09,109
351,0.351,178
91,0.091,108
161,0.161,170
92,0.092,107
259,0.259,226
622,0.622,108
431,0.431,155
93,0.093,105
162,0.162,176
503,0.503,117
567,0.567,131
352,0.352,178
94,0.094,108
260,0.26,215
95,0.095,109
163,0.163,167
96,0.096,113
97,0.097,117
353,0.353,193
164,0.164,174
261,0.261,220
98,0.098,120
432,0.432,170
99,0.099,120
165,0.165,178
568,0.568,90
623,0.623,108
504,0.504,144
100,0.1,110
262,0.262,198
354,0.354,202
101,0.101,114
166,0.166,174
102,0.102,122
167,0.167,176
103,0.103,126
433,0.433,181
263,0.263,190
104,0.104,122
355,0.355,205
569,0.569,107
105,0.105,117
624,0.624,113
168,0.168,178
505,0.505,139
106,0.106,120
264,0.264,186
169,0.169,182
107,0.107,131
356,0.356,190
434,0.434,157
108,0.108,127
170,0.17,177
265,0.265,212
109,0.109,127
570,0.57,115
171,0.171,181
110,0.11,131
506,0.506,136
357,0.357,180
625,0.625,109
111,0.111,127
266,0.266,222
172,0.172,181
435,0.435,144
112,0.112,127
113,0.113,133
173,0.173,182
358,0.358,173
267,0.267,224
114,0.114,132
571,0.571,114
174,0.174,183
507,0.507,131
115,0.115,128
436,0.436,174
626,0.626,103
116,0.116,135
175,0.175,186
268,0.268,228
359,0.359,192
117,0.117,135
176,0.176,185
118,0.118,138
269,0.269,201
119,0.119,141
508,0.508,124
572,0.572,115
177,0.177,185
360,0.36,179
437,0.437,153
120,0.12,140
178,0.178,185
270,0.27,200
121,0.121,134
627,0.627,103
122,0.122,140
179,0.179,184
361,0.361,209
123,0.123,144
438,0.438,172
271,0.271,195
509,0.509,134
573,0.573,123
180,0.18,191
124,0.124,140
125,0.125,140
362,0.362,206
181,0.181,187
272,0.272,206
628,0.628,107
126,0.126,139
182,0.182,189
439,0.439,157
127,0.127,140
510,0.51,141
273,0.273,214
363,0.363,190
128,0.128,137
574,0.574,115
183,0.183,191
129,0.129,148
184,0.184,190
130,0.13,145
274,0.274,225
440,0.44,155
364,0.364,189
629,0.629,89
131,0.131,150
185,0.185,190
511,0.511,136
132,0.132,149
275,0.275,203
575,0.575,114
186,0.186,194
133,0.133,147
365,0.365,191
441,0.441,175
134,0.134,144
187,0.187,192
276,0.276,209
135,0.135,146
630,0.63,108
188,0.188,195
512,0.512,141
366,0.366,175
136,0.136,150
277,0.277,193
576,0.576,115
189,0.189,198
442,0.442,162
367,0.367,171
278,0.278,228
190,0.19,195
631,0.631,99
513,0.513,146
191,0.191,199
665,0.665,99
577,0.577,114
443,0.443,141
279,0.279,206
368,0.368,184
192,0.192,198
280,0.28,212
193,0.193,202
514,0.514,128
369,0.369,181
444,0.444,171
632,0.632,104
194,0.194,201
578,0.578,109
281,0.281,176
666,0.666,87
195,0.195,203
370,0.37,179
282,0.282,206
445,0.445,164
196,0.196,203
515,0.515,123
633,0.633,100
579,0.579,121
371,0.371,201
197,0.197,206
283,0.283,201
667,0.667,84
198,0.198,200
446,0.446,157
372,0.372,172
284,0.284,197
516,0.516,147
199,0.199,201
580,0.58,116
634,0.634,93
200,0.2,207
285,0.285,193
373,0.373,180
447,0.447,132
668,0.668,94
201,0.201,208
517,0.517,148
286,0.286,202
374,0.374,179
202,0.202,200
581,0.581,115
635,0.635,100
448,0.448,165
287,0.287,204
203,0.203,203
669,0.669,100
375,0.375,196
518,0.518,127
204,0.204,208
288,0.288,224
582,0.582,113
449,0.449,147
205,0.205,208
636,0.636,105
376,0.376,177
289,0.289,210
206,0.206,204
519,0.519,132
670,0.67,76
377,0.377,168
450,0.45,151
207,0.207,207
290,0.29,214
583,0.583,129
637,0.637,89
208,0.208,208
291,0.291,185
378,0.378,176
520,0.52,117
209,0.209,210
451,0.451,138
671,0.671,78
584,0.584,105
292,0.292,226
210,0.21,211
379,0.379,184
638,0.638,97
211,0.211,210
521,0.521,133
293,0.293,222
452,0.452,157
380,0.38,216
212,0.212,212
585,0.585,126
672,0.672,86
294,0.294,208
213,0.213,219
453,0.453,132
639,0.639,98
381,0.381,179
522,0.522,137
